scenario,comparison,outcome,n,mean,std,se,ci_low,ci_high
scarce_limited_minus_unavailable,institutional_contrast_administered,inflation_volatility,40,-0.00024618098187580167,4.9082798912603914e-05,7.760671924993208e-06,-0.00026139189884878835,-0.000230970064902815
scarce_limited_minus_unavailable,institutional_contrast_administered,defaults,40,0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_administered,interbank_volume,40,49.479296481464786,16.46347836128118,2.6031044915272497,44.377211678071376,54.581381284858196
scarce_limited_minus_unavailable,institutional_contrast_administered,emergency_borrowing,40,546.4544687856048,24.691728135947365,3.904105013762868,538.8024229586296,554.1065146125801
scarce_limited_minus_unavailable,institutional_contrast_administered,liquidity_shortfall,40,-723.7340122631842,37.095489123317236,5.865311827384259,-735.2300234448574,-712.2380010815111
scarce_limited_minus_unavailable,institutional_contrast_administered,final_credit,40,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,new_credit,40,30.0,0.0,0.0,30.0,30.0
scarce_limited_minus_unavailable,institutional_contrast_market,output,40,34.402009245332216,2.2010666618536527,0.3480191966660597,33.719891619866736,35.0841268707977
scarce_limited_minus_unavailable,institutional_contrast_market,inflation_volatility,40,-0.00024618098187580167,4.9082798912603914e-05,7.760671924993208e-06,-0.00026139189884878835,-0.000230970064902815
scarce_limited_minus_unavailable,institutional_contrast_market,defaults,40,0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,write_offs,40,0.0,0.0,0.0,0.0,0.0
scarce_limited_minus_unavailable,institutional_contrast_market,interbank_volume,40,25.856750157360466,33.63615029916259,5.31834233325539,15.432799184179903,36.28070113054103
scarce_limited_minus_unavailable,institutional_contrast_market,emergency_borrowing,40,436.02672636899933,34.01921280664107,5.3789098337477546,425.48406309485375,446.5693896431449
scarce_limited_minus_unavailable,institutional_contrast_market,liquidity_shortfall,40,-162.85003741149328,122.58636215610002,19.382605724377274,-200.83994463127272,-124.86013019171382
scarce_limited_minus_unavailable,institutional_contrast_market,final_credit,40,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,new_credit,40,546.1014884369881,6.731724790862912,1.064379146027372,544.0153053107745,548.1876715632018
scarce_penalty_minus_limited,institutional_contrast_administered,output,40,399.4291418372679,19.693378091217358,3.1137964795553024,393.32610073733946,405.5321829371963
