scenario,regime,outcome,n,mean,std,se,ci_low,ci_high
h7_scarce_limited,administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,administered,interbank_volume,40,343.74836715612633,84.5788135040874,13.373084623376162,317.53712129430903,369.95961301794364
h7_scarce_limited,administered,emergency_borrowing,40,546.4544687856048,24.691728135947365,3.904105013762868,538.8024229586296,554.1065146125801
h7_scarce_limited,administered,liquidity_shortfall,40,671.6448597077318,184.91314542679515,29.237335442731048,614.339682239979,728.9500371754847
h7_scarce_limited,administered,final_credit,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market,new_credit,40,30.0,0.0,0.0,30.0,30.0
h7_scarce_limited,market,output,40,681.8385603007688,19.73169422397875,3.119854792088072,675.7236449082761,687.9534756932615
h7_scarce_limited,market,inflation_volatility,40,0.03338508580011178,0.0006754433191956,0.00010679696595011129,0.03317576374684956,0.033594407853373996
h7_scarce_limited,market,defaults,40,0,0.0,0.0,0.0,0.0
h7_scarce_limited,market,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_limited,market,interbank_volume,40,443.441381424641,72.8445420884089,11.517733405568535,420.86662394972666,466.01613889955536
h7_scarce_limited,market,emergency_borrowing,40,436.02672636899933,34.01921280664107,5.3789098337477546,425.48406309485375,446.5693896431449
h7_scarce_limited,market,liquidity_shortfall,40,1232.5288345594229,317.42730109753444,50.18966314941374,1134.1570947865719,1330.900574332274
h7_scarce_limited,market,final_credit,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,administered,new_credit,40,576.1014884369881,6.731724790862912,1.064379146027372,574.0153053107745,578.1876715632018
h7_scarce_penalty,administered,output,40,1081.2677021380366,36.1917363315358,5.7224159641959975,1070.0517668482125,1092.4836374278607
h7_scarce_penalty,administered,inflation_volatility,40,0.033917717919681074,0.0007706196796402432,0.00012184566987062271,0.03367890040673465,0.0341565354326275
h7_scarce_penalty,administered,defaults,40,0,0.0,0.0,0.0,0.0
h7_scarce_penalty,administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,administered,interbank_volume,40,753.237385169806,91.5639236349358,14.477527509406046,724.8614312513702,781.6133390882418
h7_scarce_penalty,administered,emergency_borrowing,40,1229.385767266759,141.8224814177974,22.42410323485729,1185.4345249264388,1273.3370096070794
h7_scarce_penalty,administered,liquidity_shortfall,40,1.7763568394002505e-14,1.6330200255051924e-14,2.582031372631333e-15,1.2702786903645092e-14,2.2824349884359918e-14
h7_scarce_penalty,administered,final_credit,40,119.82066598790851,2.749572654499933,0.43474560901675036,118.96856459423569,120.67276738158134
h7_scarce_penalty,market,new_credit,40,63.63107328,58.79033647418749,9.295568383305266,45.41175924872168,81.85038731127833
h7_scarce_penalty,market,output,40,703.0852012765031,51.892536430633285,8.20493043420327,687.0035376254647,719.1668649275415
h7_scarce_penalty,market,inflation_volatility,40,0.03346172076376243,0.0007701117049088623,0.0001217653520133739,0.03322306067381622,0.03370038085370864
h7_scarce_penalty,market,defaults,40,0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market,interbank_volume,40,527.3802580492763,117.3784444568726,18.559161634564155,491.0043012455306,563.7562148530221
h7_scarce_penalty,market,emergency_borrowing,40,1438.5099508869193,523.0937684132631,82.70838690132769,1276.401512560317,1600.6183892135216
h7_scarce_penalty,market,liquidity_shortfall,40,5.826450433232821e-14,5.79083667150555e-14,9.156116719992907e-15,4.0318515561142114e-14,7.621049310351431e-14
h7_scarce_penalty,market,final_credit,40,9.418842624000002,21.564007127238636,3.409568900108922,2.7360875797865143,16.10159766821349
h7_scarce_unavailable,administered,new_credit,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,output,40,647.4365510554366,18.376950133249405,2.9056509434201456,641.7414752063331,653.13162690454
h7_scarce_unavailable,administered,inflation_volatility,40,0.03363126678198758,0.0006435131445308722,0.00010174836204873412,0.03343183999237206,0.0338306935716031
h7_scarce_unavailable,administered,defaults,40,0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,interbank_volume,40,294.2690706746615,95.69651155795349,15.13094703278807,264.61241449039693,323.9257268589261
h7_scarce_unavailable,administered,emergency_borrowing,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,liquidity_shortfall,40,1395.378871970916,212.60350492979222,33.61556570564899,1329.492363187844,1461.265380753988
h7_scarce_unavailable,administered,final_credit,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,new_credit,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,output,40,647.4365510554366,18.376950133249405,2.9056509434201456,641.7414752063331,653.13162690454
h7_scarce_unavailable,market,inflation_volatility,40,0.03363126678198758,0.0006435131445308722,0.00010174836204873412,0.03343183999237206,0.0338306935716031
h7_scarce_unavailable,market,defaults,40,0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,write_offs,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,interbank_volume,40,417.58463126728054,89.96758973262736,14.225124957534076,389.70338635051377,445.4658761840473
h7_scarce_unavailable,market,emergency_borrowing,40,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,liquidity_shortfall,40,1395.378871970916,212.60350492979228,33.615565705649,1329.492363187844,1461.265380753988
h7_scarce_unavailable,market,final_credit,40,0.0,0.0,0.0,0.0,0.0
