scenario_id,outcome,estimate,lower_95,upper_95,n,standardized_effect,p_value,p_value_holm
h7_reserve_0.20_penalty_1.0,cumulative_new_credit,-11.521815339267592,-12.994914064191136,-10.048082798120332,40,-2.3721690012948033,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.20_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.20_unavailable_0.0,cumulative_new_credit,-11.521815339267592,-12.994914064191136,-10.048082798120332,40,-2.3721690012948033,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.20_unavailable_0.0,unresolved_liquidity_shortfall,1.304512053934559e-16,-5.551115123125783e-18,3.1363800445660674e-16,40,0.2476729439358905,0.24907509249075094,0.24907509249075094
h7_reserve_0.35_limited_0.5,cumulative_new_credit,-11.562658059897984,-13.048772556270508,-10.091173269802859,40,-2.3712958273521663,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.35_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.35_limited_1.0,cumulative_new_credit,-11.562658059897984,-13.048772556270508,-10.091173269802859,40,-2.3712958273521663,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.35_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.35_penalty_1.0,cumulative_new_credit,-11.562658059897984,-13.048772556270508,-10.091173269802859,40,-2.3712958273521663,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.35_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.35_unavailable_0.0,cumulative_new_credit,-11.562658059897984,-13.048772556270508,-10.091173269802859,40,-2.3712958273521663,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.35_unavailable_0.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.50_limited_0.5,cumulative_new_credit,-12.258519710061744,-13.82212618295945,-10.673740472151767,40,-2.375410731794977,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.50_limited_0.5,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.50_limited_1.0,cumulative_new_credit,-12.258519710061744,-13.82212618295945,-10.673740472151767,40,-2.375410731794977,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.50_limited_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.50_penalty_1.0,cumulative_new_credit,-12.258519710061744,-13.82212618295945,-10.673740472151767,40,-2.375410731794977,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.50_penalty_1.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
h7_reserve_0.50_unavailable_0.0,cumulative_new_credit,-12.258519710061744,-13.82212618295945,-10.673740472151767,40,-2.375410731794977,9.999000099990002e-05,0.00019998000199980003
h7_reserve_0.50_unavailable_0.0,unresolved_liquidity_shortfall,0.0,0.0,0.0,40,,1.0,1.0
