run_id,mean_local_pass_through,borrower_leverage_rate_slope,quoted_rate_dispersion,risk_rationing_slope,scenario_id,rate_regime,replication,cumulative_output,cumulative_new_credit,defaults,write_offs,output_per_unit_credit
4453569e2550a7c768f75c84,1.0,0.030214145621485326,0.010450039917752061,0.4653012240057842,h2_h3_baseline,market,713,4698.558285080878,6.992823133952846,0.0,0.0,671.9115005594193
44ded3e1d5d50777674a51c3,1.0,0.027358972995131133,0.008629275332203944,0.490152386216881,h2_h3_baseline,market,671,4415.903208543057,14.001220484239669,0.0,0.0,315.39416249560344
44fe5c46f13dd4833b286493,1.0,0.029974673365898978,0.012648728600813067,0.4700754430067349,h2_h3_baseline,market,433,4634.748815159008,13.533993994220545,0.0,0.0,342.4524066685855
45396cc82a4afbb93808d9e0,1.0,0.0297044519171739,0.014789472485626632,0.4850364308037467,h2_h3_baseline,market,683,4527.72685665333,6.805932537945195,0.0,0.0,665.2617890950053
4580ef4119cfb55e2859479d,0.25,0.0074128944716226755,0.005033380871433594,0.06572416324628706,h2_h3_baseline,administered,3,4461.885879567085,31.389071374354867,0.0,0.0,142.14775029032822
45913bcd408fc372cad52150,1.0,0.02801349635361307,0.003953936044925985,0.5337214139580233,h2_h3_baseline,market,670,4484.270185287944,5.232936688214159,0.0,0.0,856.9318630182563
45c258fbda983997e3629368,0.25,0.0078401850839112,0.005920486731688983,0.05568603176210495,h2_h3_baseline,administered,412,4511.148159707265,22.42687152091782,0.0,0.0,201.14923989731076
460a7c4e287d427efe87f5e9,0.25,0.007388627942199767,0.0046370272540228056,0.12608249855109158,h2_h3_baseline,administered,177,4402.018923494668,15.63651319930659,0.0,0.0,281.5217732614378
462f33c0a76fae5c63a5c1f2,0.25,0.006511261176297754,0.006234986159020013,0.1641679472109005,h2_h3_baseline,administered,387,4227.295009725007,37.26909968719191,0.0,0.0,113.42627123288896
4637b7c791c334319ed8e1af,1.0,0.030135079165866996,0.010955005558947753,0.4138678047484729,h2_h3_baseline,market,738,4490.679017311051,11.836404413817732,0.0,0.0,379.39553772500926
4648f518aae0508b09a166aa,0.25,0.007495682575574492,0.008142912130581183,0.0,h2_h3_baseline,administered,64,4574.714844529426,4.9058781452007745,0.0,0.0,932.4966314144365
465a76c81e191a401e08c18c,0.25,0.007301068046051398,0.004379559659925664,0.0914936807679668,h2_h3_baseline,administered,176,4514.110683992416,27.457343396790364,0.0,0.0,164.4044953205522
4668d05d82d443bb5d909da5,0.25,0.007583149296414621,0.004631120823837182,0.10034252048866144,h2_h3_baseline,administered,274,4342.991518874189,16.757856775352483,0.0,0.0,259.1615131394294
46b50205ff5aa2abc598035b,1.0,0.027604773358587187,0.00917471713635502,0.5629904584438304,h2_h3_baseline,market,285,4568.263855981108,3.831257218156795,0.0,0.0,1192.366786111762
47759dc10b1b6922a47674e4,0.25,0.0075208942477863585,0.003230978286475835,0.15568856059694866,h2_h3_baseline,administered,257,4305.041976274437,8.877303310363304,0.0,0.0,484.94929437059557
47d02136bef3586bb77c8adc,0.25,0.007473804781662016,0.005005236871398723,0.03361084720984401,h2_h3_baseline,administered,15,4546.921419476973,26.569613065754037,0.0,0.0,171.1323912856513
47eb0ba40a5c6436cc446cd5,0.25,0.00755495549848647,0.005615175153148683,0.0897818143895903,h2_h3_baseline,administered,804,4319.006775987525,31.834339890156944,0.0,0.0,135.67131565755963
47f6b49196ca47ee66d68d7f,1.0,0.029452389665296813,0.01512395047790803,0.37564674079097465,h2_h3_baseline,market,166,4640.646670846858,7.475623840305941,0.0,0.0,620.7704895243818
4805637a054a33193e8f9a40,1.0,0.025348829690251557,0.007615567151528775,0.4934911690262495,h2_h3_baseline,market,231,4617.306274794324,13.191361234873186,0.0,0.0,350.025004439105
480b34542f5c59851394eade,1.0,0.029585024456761134,0.012865344634388346,0.4744481618369955,h2_h3_baseline,market,746,4484.442060416533,9.749459425065663,0.0,0.0,459.96827771672383
483e422abfec47aa2bf3851c,1.0,0.029249997730581154,0.014015418146514271,0.41612971581532915,h2_h3_baseline,market,544,4450.964171391469,10.09209218441302,0.0,0.0,441.034831039878
488d5f16958827a116a56b0b,0.25,0.007497590512881049,0.004778964565073514,0.07390252369938663,h2_h3_baseline,administered,324,4668.840470058973,35.77428673980388,0.0,0.0,130.50827551131124
4895b989015c58c0d75655cd,1.0,0.030339981434873178,0.009773493270949752,0.4067501588526298,h2_h3_baseline,market,38,4637.467309839222,8.363354171342271,0.0,0.0,554.4984960376173
489ac77096d740686ad6061b,1.0,0.029326272784407,0.010267462076271088,0.5494484154788567,h2_h3_baseline,market,346,4339.63994519321,22.47359416991973,0.0,0.0,193.0995065756636
