scenario,comparison,outcome,n,mean,std,se,ci_low,ci_high
scarce_limited_minus_unavailable,institutional_contrast_market,emergency_borrowing,30,412.09278483329985,17.127700595589985,3.1270759914664343,405.96371589002564,418.22185377657405
scarce_limited_minus_unavailable,institutional_contrast_market,liquidity_shortfall,30,-124.84141027419504,129.5122154221983,23.645587286402154,-171.18676135554327,-78.49605919284681
scarce_limited_minus_unavailable,institutional_contrast_market,final_credit,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,new_credit,30,325.5384993609573,0.0,0.0,325.5384993609573,325.5384993609573
scarce_penalty_minus_limited,institutional_contrast_administered,output,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,defaults,30,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_administered,interbank_volume,30,345.8622193059574,0.8553950646379845,0.15617305749360458,345.55612011326997,346.16831849864485
scarce_penalty_minus_limited,institutional_contrast_administered,emergency_borrowing,30,602.9835027339883,130.60744792932306,23.845548469690545,556.2462277333948,649.7207777345818
scarce_penalty_minus_limited,institutional_contrast_administered,liquidity_shortfall,30,-698.4794234161226,200.3342490076359,36.57586240744637,-770.1681137347175,-626.7907330975277
scarce_penalty_minus_limited,institutional_contrast_administered,final_credit,30,57.184819732197326,0.0,0.0,57.184819732197326,57.184819732197326
scarce_penalty_minus_limited,institutional_contrast_market,new_credit,30,273.18147910563704,49.75506729250539,9.083990902097565,255.37685693752582,290.98610127374826
scarce_penalty_minus_limited,institutional_contrast_market,output,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_market,inflation_volatility,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_market,defaults,30,0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_market,write_offs,30,0.0,0.0,0.0,0.0,0.0
scarce_penalty_minus_limited,institutional_contrast_market,interbank_volume,30,343.93736491778674,12.834007462690918,2.343158463501819,339.3447743293232,348.5299555062503
scarce_penalty_minus_limited,institutional_contrast_market,emergency_borrowing,30,1023.6548434289471,294.4554012889777,53.75995515506962,918.2853313250106,1129.0243555328834
scarce_penalty_minus_limited,institutional_contrast_market,liquidity_shortfall,30,-1283.358340829161,335.4201106417803,61.239053613127226,-1403.3868859108904,-1163.3297957474317
scarce_penalty_minus_limited,institutional_contrast_market,final_credit,30,22.023618304625867,23.46841584352012,4.2847269154692,13.625553550306234,30.421683058945497
