scenario,regime,outcome,n,mean,std,se,ci_low,ci_high
h7_scarce_limited,market,interbank_volume,30,415.1742484342379,81.27376039370034,14.83849063363321,386.0908067923168,444.25769007615895
h7_scarce_limited,market,emergency_borrowing,30,412.09278483329985,17.127700595589985,3.1270759914664343,405.96371589002564,418.22185377657405
h7_scarce_limited,market,liquidity_shortfall,30,1283.358340829161,335.4201106417803,61.239053613127226,1163.3297957474317,1403.3868859108904
h7_scarce_limited,market,final_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,administered,new_credit,30,355.5384993609573,0.0,0.0,355.5384993609573,355.5384993609573
h7_scarce_penalty,administered,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_scarce_penalty,administered,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_scarce_penalty,administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_penalty,administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,administered,interbank_volume,30,685.5956469535051,91.46039278502776,16.698306748880817,652.8669657256987,718.3243281813116
h7_scarce_penalty,administered,emergency_borrowing,30,1136.3516899123824,143.85467638170653,26.26415041895544,1084.8739550912298,1187.829424733535
h7_scarce_penalty,administered,liquidity_shortfall,30,1.2316074086508404e-14,1.1643056278766809e-14,2.1257215207275797e-15,8.149659905882346e-15,1.648248826713446e-14
h7_scarce_penalty,administered,final_credit,30,57.184819732197326,0.0,0.0,57.184819732197326,57.184819732197326
h7_scarce_penalty,market,new_credit,30,303.18147910563704,49.75506729250539,9.083990902097565,285.3768569375258,320.98610127374826
h7_scarce_penalty,market,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_scarce_penalty,market,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_scarce_penalty,market,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_penalty,market,interbank_volume,30,759.1116133520246,86.18094266082282,15.734415440797317,728.2721590880619,789.9510676159873
h7_scarce_penalty,market,emergency_borrowing,30,1435.747628262247,282.4183420410735,51.56229886303519,1334.685522490698,1536.8097340337958
h7_scarce_penalty,market,liquidity_shortfall,30,2.7948014273230606e-14,2.460920662316309e-14,4.4930058632706536e-15,1.9141722781220125e-14,3.6754305765241087e-14
h7_scarce_penalty,market,final_credit,30,22.023618304625867,23.46841584352012,4.2847269154692,13.625553550306234,30.421683058945497
h7_scarce_unavailable,administered,new_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_scarce_unavailable,administered,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_scarce_unavailable,administered,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,interbank_volume,30,297.10469116690496,96.42010492610687,17.603822155014573,262.6011997430764,331.6081825907335
h7_scarce_unavailable,administered,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,administered,liquidity_shortfall,30,1408.199751103356,216.85695774967104,39.592482503813194,1330.598485395882,1485.8010168108299
h7_scarce_unavailable,administered,final_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,new_credit,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,output,30,643.7635885067325,16.26247743534984,2.9691085774199566,637.9441356949894,649.5830413184756
h7_scarce_unavailable,market,inflation_volatility,30,0.033505539451459294,0.0005801085533861,0.00010591284683041896,0.03329795027167167,0.03371312863124692
h7_scarce_unavailable,market,defaults,30,0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,write_offs,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,interbank_volume,30,422.6657474452644,88.03112142957532,16.07221032315161,391.16421521188727,454.16727967864153
h7_scarce_unavailable,market,emergency_borrowing,30,0.0,0.0,0.0,0.0,0.0
h7_scarce_unavailable,market,liquidity_shortfall,30,1408.1997511033562,216.85695774967112,39.59248250381321,1330.5984853958823,1485.80101681083
h7_scarce_unavailable,market,final_credit,30,0.0,0.0,0.0,0.0,0.0
