run_id,borrower_leverage_slope,liquidity_component_slope,capital_component_slope,inflation_component_slope,scenario_id,rate_regime,replication
7b3798feaf80c0a757fca2c7,0.007418509261614754,-0.32866225892219647,0.0,0.001398689789091948,h3_positive_demand,administered,11
7cc809af418da6fbebbb77f8,0.02902401702646708,1.312138799421195,4.440892098500626e-16,0.0014241091361220449,h3_positive_demand,market,18
7d9b6819683b31ee48d6c732,0.007361639824679506,-0.004231811839694491,-8.673617379884035e-19,0.0013881269693966102,h2_h3_baseline,administered,5
80afaa8dc7acab6fb439c369,0.02973595500369498,3.7395522693588887,-1.3322676295501878e-15,0.0013678452023105545,h2_h3_baseline,market,0
84cd1d79910e958561d945c2,0.02851433783697516,-0.776235563461827,2.220446049250313e-16,0.0014602545335854185,h2_h3_baseline,market,6
85b66285981e64c3c23f5687,0.02790523373380861,2.41237088394901,4.440892098500626e-16,0.0014175250533887474,h2_h3_baseline,market,12
8b62962cf0e2f3e7f7364fb6,0.026692703992519776,11.831444234617164,-1.7763568394002505e-15,0.0014371728588959962,h2_h3_baseline,market,3
8e4adf52335bef55b16ea283,0.030417730259936097,3.6213678403009406,0.0,0.0013766286005513027,h2_h3_baseline,market,8
911b4bdceca4fec26635e89d,0.0074207094769411334,0.9243867967908435,-1.1102230246251565e-16,0.0013876860292800419,h3_positive_demand,administered,16
919026041682b8d8a86fc846,0.006727761871964171,5.582117003762886,0.0,0.0014192560210087456,h2_h3_baseline,administered,10
92fbc1db6782a395a6e4eb69,0.0073888964073491785,-1.2505568438893135,-4.440892098500626e-16,0.0014032465286263958,h2_h3_baseline,administered,11
985ff2a425aaf7e11d9ec14c,0.007365187260243095,0.12332332806429457,-2.7755575615628914e-17,0.0013901208523095783,h2_h3_baseline,administered,13
9927d96eb64e22380f812349,0.028265923285613993,-3.8205852009624537,8.881784197001252e-16,0.001451687109926846,h2_h3_baseline,market,11
9a16e2cc655f22837a9cf15f,0.029124519145575078,-1.2286966605017091,2.220446049250313e-16,0.001452504178892976,h3_positive_demand,market,6
9d457c2a1c202147ec829ce0,0.03035271448411485,1.299015230986403,0.0,0.0013524352830101922,h2_h3_baseline,market,19
a10de96c0cb2189a110f8665,0.02968766706957524,1.7013927114037184,2.220446049250313e-16,0.0013726900564114896,h2_h3_baseline,market,5
a642fd6d4a2607ea87004457,0.028977008282836735,-5.229454844720124,0.0,0.0014208402699074619,h2_h3_baseline,market,9
a766fb0885c10241bc11a866,0.028765176278869865,-6.169693830365074,8.881784197001252e-16,0.0014680957157704895,h3_positive_demand,market,14
af77d806ad4b8b702785b1ae,0.030138628275476153,-0.33725915710045967,-5.551115123125783e-17,0.0014101000120246784,h3_positive_demand,market,11
b1850cdd01e55f5928f908f0,0.03033845511374633,-0.5256722481235192,0.0,0.00138382850200534,h2_h3_baseline,market,1
b1d89624bb212b8f1d4f162a,0.007579380285666005,3.58949124108254,4.440892098500626e-16,0.0013930731266002425,h2_h3_baseline,administered,15
b3c5109b5931d8b0ef57db06,0.007317927073101683,0.9800107774125985,-1.1102230246251565e-16,0.0013937891085659903,h2_h3_baseline,administered,12
b4790e0dcba48e7783b3ba8d,0.029781569042141045,1.159992517710842,-2.220446049250313e-16,0.001364438096687799,h3_positive_demand,market,19
b5151dd9824fd2abf6fdaaca,0.02598362345970385,18.13087180316572,1.0658141036401503e-14,0.0014387998290928377,h2_h3_baseline,market,7
b69b8d7484cc49690c9e03de,0.007284266863943939,-0.3948723934419612,0.0,0.0013918076316258457,h3_positive_demand,administered,9
b6f52373e961f7bb5148f665,0.0075305398675404,1.1924613225320153,0.0,0.0013836398878117498,h2_h3_baseline,administered,16
b990031e2d95eabc0978fe2b,0.029896032207348464,11.42178038121673,-1.7763568394002505e-15,0.0014101274522053313,h2_h3_baseline,market,15
ba33b43965506a2442980146,0.029207650819445218,1.0786535749977701,-2.220446049250313e-16,0.001425364554652735,h3_positive_demand,market,17
bd1218e0c772ce45945bd268,0.007290834005137836,-0.06627374800701052,0.0,0.0013899277381910348,h3_positive_demand,administered,5
c7f104c489e610d939092ee8,0.007366173136947902,-0.32847126354972167,5.551115123125783e-17,0.0014040456565200532,h2_h3_baseline,administered,6
c8d414f61cdd84e42a90494a,0.02982473798085507,0.8154575761020022,-2.220446049250313e-16,0.0013908500399081448,h3_positive_demand,market,1
c9b5966ace1b519f4f9c4458,0.007303341389675182,-0.34598980394510986,-5.551115123125783e-17,0.001394400493983152,h2_h3_baseline,administered,18
d27d45ca20db282eefa26a0b,0.03162790296200787,4.882910757027243,8.881784197001252e-16,0.0013876908415107966,h2_h3_baseline,market,10
d30c6155c5ef38fbc6f1051b,0.007323763655401985,-0.9209589625919048,1.1102230246251565e-16,0.0014082274948819425,h2_h3_baseline,administered,4
d33fcd48440968b943e98c53,0.02811683188393516,12.259200617369943,-1.7763568394002505e-15,0.0014322004680209417,h3_positive_demand,market,3
d77bad7e05d6badbca4ceae0,0.02936772831606428,-2.3216908279142685,-4.440892098500626e-16,0.0014485067549157718,h3_positive_demand,market,4
dd19ef7175202bf2c734497a,0.0075009320128465555,0.7151922070041183,-1.1102230246251565e-16,0.0013802857871540682,h3_positive_demand,administered,19
de69cc7967c2d5d38ca83cb3,0.007538093030879424,0.6020566764842692,-1.1102230246251565e-16,0.0013885251779776407,h3_positive_demand,administered,8
eb3eec85271e1725cdcdf1ee,0.02957568636303709,-0.45410444289566765,0.0,0.0014565048307873477,h3_positive_demand,market,2
ec38865e75052de5f9635627,0.007426037290971819,0.7059563619901175,0.0,0.001383384800589839,h3_positive_demand,administered,0
