call_id,run_id,period,agent_id,task_type,provider,model_id,prompt_version,prompt_hash,temperature,attempt,latency_seconds,status,error_type,error_message
cd8dab642b5773ae-27c4779128f9-p1-bank_0-loan_evaluation_firm_1-a0,cd8dab642b5773ae-27c4779128f9,1,bank_0,loan_evaluation_firm_1,ollama,deepseek-r1:8b,0.1,2265e1224a121951df9edb7af4635abe30bc7c81cbd5cf7449ddf9466eddcb12,0.0,0,20.864243084099144,success,,
cd8dab642b5773ae-27c4779128f9-p1-bank_1-loan_evaluation_firm_2-a0,cd8dab642b5773ae-27c4779128f9,1,bank_1,loan_evaluation_firm_2,ollama,deepseek-r1:8b,0.1,7feaa217efedbc37e50559b0c98ea0624ab871603dfe6bc5ab356be000786f76,0.0,0,11.878598332870752,success,,
cd8dab642b5773ae-27c4779128f9-p1-bank_1-loan_evaluation_firm_1-a0,cd8dab642b5773ae-27c4779128f9,1,bank_1,loan_evaluation_firm_1,ollama,deepseek-r1:8b,0.1,3bfe574084ce900cc1ef37a30ffbf24f9185e6ac9405d15d92ef4f1806ad10ad,0.0,0,25.57590200006962,success,,
cd8dab642b5773ae-27c4779128f9-p1-firm_0-credit_demand-a0,cd8dab642b5773ae-27c4779128f9,1,firm_0,credit_demand,ollama,deepseek-r1:8b,0.1,65828fcfca4acac58d3b9f39c921c5d4bd46d18cce5c600b6f1d49335dae0b9f,0.0,0,6.524640208110213,success,,
cd8dab642b5773ae-27c4779128f9-p1-firm_1-credit_demand-a0,cd8dab642b5773ae-27c4779128f9,1,firm_1,credit_demand,ollama,deepseek-r1:8b,0.1,b148a47e2e1c2e7ff614789a80c9c30c97669c1055884b575c6e2ac82a3e954a,0.0,0,3.947897291975096,success,,
cd8dab642b5773ae-27c4779128f9-p1-firm_2-credit_demand-a0,cd8dab642b5773ae-27c4779128f9,1,firm_2,credit_demand,ollama,deepseek-r1:8b,0.1,84ebf6510907ccd211d8da9ca1bc9720dc6156e10c9ebe1766fcde5a6894df33,0.0,0,11.30923808296211,success,,
ee10de39eabb069d-d46c31280097-p1-bank_0-loan_evaluation_firm_1-a0,ee10de39eabb069d-d46c31280097,1,bank_0,loan_evaluation_firm_1,ollama,deepseek-r1:8b,0.1,f2e403e505f9abe9685a403beb10f4af93045cb18d72d986abd4b7829e98ad22,0.0,0,12.055860582971945,success,,
ee10de39eabb069d-d46c31280097-p1-bank_0-loan_evaluation_firm_2-a0,ee10de39eabb069d-d46c31280097,1,bank_0,loan_evaluation_firm_2,ollama,deepseek-r1:8b,0.1,2f731cc8dad73d2d6505fd954b8f8122fac8003ecb37dc6e1a28f68c03369345,0.0,0,19.424788458971307,success,,
ee10de39eabb069d-d46c31280097-p1-bank_1-loan_evaluation_firm_2-a0,ee10de39eabb069d-d46c31280097,1,bank_1,loan_evaluation_firm_2,ollama,deepseek-r1:8b,0.1,a5cb9592d33fdb90d11c872afd719fbde9e6177430f5a0ddd35c0d9200d5fc76,0.0,0,6.9826974999159575,success,,
ee10de39eabb069d-d46c31280097-p1-bank_1-loan_evaluation_firm_1-a0,ee10de39eabb069d-d46c31280097,1,bank_1,loan_evaluation_firm_1,ollama,deepseek-r1:8b,0.1,770f1c156515bbd170f9eaae500b2e985b6e99019cdd8dd482bee523755494ca,0.0,0,24.861812208080664,success,,
ee10de39eabb069d-d46c31280097-p1-firm_0-credit_demand-a0,ee10de39eabb069d-d46c31280097,1,firm_0,credit_demand,ollama,deepseek-r1:8b,0.1,8d9a8c997354c380d63fd18e7908db870699ba842eb517d6c02bdacd4ca366a5,0.0,0,4.04909750004299,success,,
ee10de39eabb069d-d46c31280097-p1-firm_1-credit_demand-a0,ee10de39eabb069d-d46c31280097,1,firm_1,credit_demand,ollama,deepseek-r1:8b,0.1,3a7c22958725a17eb22cbb01871f47b8d22063e6e42f205b61fcf48df59abaa3,0.0,0,11.497525583021343,success,,
ee10de39eabb069d-d46c31280097-p1-firm_2-credit_demand-a0,ee10de39eabb069d-d46c31280097,1,firm_2,credit_demand,ollama,deepseek-r1:8b,0.1,05878ae1d73188b1b57bc7eb5bdc14d5e0af3d71b3f9fad1ac8e42098d1ca4d4,0.0,0,8.523584417067468,success,,
