parameter_set_id,outcome,matched_seeds,mean_effect,standard_deviation,minimum_effect,maximum_effect,positive_seed_share,production_alpha,investment_share,base_credit_demand,risk_price,liquidity_price,capital_price
lhs-028,cumulative_new_credit,5,16.75478775758757,40.07344887525767,-11.287713523422637,83.88765541314619,0.4,0.30931124934076637,0.1777852943592637,11.709831281926355,0.030832972948756907,0.007649556026878556,0.01677629973696687
lhs-029,cumulative_new_credit,5,40.369679387867514,15.124094940798036,26.499559251967696,62.648612988995694,1.0,0.43190364127246605,0.35821707665831004,11.888152918678568,0.048121106271953214,0.010713795929897154,0.025106213745409355
lhs-030,cumulative_new_credit,5,34.49964043766955,42.631922466693865,-15.111160739235146,73.90574334221435,0.6,0.3387552556695541,0.5049521467123068,16.06924001881113,0.023131499917025376,0.027244176579807166,0.002499624917830737
lhs-031,cumulative_new_credit,5,-3.9686571599111575,11.006050366888594,-17.7622689500988,12.012150491769631,0.2,0.39021986468788816,0.4068908421502079,14.774079393867472,0.016871332279703614,0.028311601652339986,0.023032230082570146
lhs-032,cumulative_new_credit,5,29.782203457581044,15.167833096436741,13.392581871574109,45.82848839061218,1.0,0.34251607615434465,0.4057576255940225,6.5001386502746445,0.02605483500397176,0.015739698675355636,0.011265396384649635
lhs-033,cumulative_new_credit,5,-2.1436082562058614,2.1939023006959455,-4.7754542339102635,1.0044425606620244,0.2,0.4595519468098837,0.3278712803366869,14.62712540977544,0.006673708350162882,0.031014026760760628,0.0026798657684104464
lhs-034,cumulative_new_credit,5,12.911066920914848,11.171204270152323,4.258673447986183,29.759432803964266,1.0,0.41782677169057014,0.20719040844458086,7.751779083206183,0.041662704471089385,0.025260403045104685,0.013629260623227103
lhs-035,cumulative_new_credit,5,26.070273794846152,23.769912198468873,5.436841391283934,64.64873334226976,1.0,0.27927131609775435,0.39317732551861895,10.330328322754978,0.045121209920616,0.004625247902088998,0.021738956054158917
lhs-036,cumulative_new_credit,5,40.511214180947306,20.642281369495034,17.164997096208914,72.52154226418563,1.0,0.42552952552862555,0.2852663868887549,10.707099240193742,0.03007592931599375,0.024324492206998352,0.009656183017394616
lhs-037,cumulative_new_credit,5,38.09052358968935,32.645315274935776,12.087568081648158,93.80678301465271,1.0,0.39335828109873816,0.5166342949758739,14.217636361402498,0.035059732261898104,0.03694810912029923,0.008435389557288408
lhs-038,cumulative_new_credit,5,49.983373729486445,38.99764559608133,-4.669629519039745,105.32824097215985,0.8,0.4348499307899808,0.25541386554234874,14.390035360104756,0.0440029489820033,0.01649693100736671,0.008642191389645323
lhs-039,cumulative_new_credit,5,-34.820492196657064,89.95903930582034,-192.7528132758813,27.999256534747772,0.4,0.3974821062063948,0.5708537506844028,10.348740654412605,0.04481941827126075,0.03774063367283452,0.02953297453132711
lhs-040,cumulative_new_credit,5,14.673251757803797,42.39757293571793,-16.41565151019696,88.78245616773766,0.4,0.21355222604766255,0.31757188548631143,7.955843191265883,0.0488053293949699,0.009890678946165275,0.02130969698079837
lhs-041,cumulative_new_credit,5,2.1729311877253297,11.12678911560332,-9.02407369852952,15.396609723893278,0.4,0.37069779097432537,0.5481637863232476,14.863188859160097,0.0122770747076885,0.020178139481678042,0.02238375321022315
